saleprice
418502.2
220000
275000
571000
480000
445000
320000
290000
350000
321586
312795
334801.75
260000
495000
321586
475000
323788.55
220000
187000
435000
295000
470000
334801.76
495000
325000
307000
365000
605000
371950
321585.9
440528.63
115000
410000
717000
380000
750000
590000
485000
490000
270214.53
660792.95
138000
210000
1040000
726872.25
805000
664655
200000
700441
240000
331000
310000
1450000
315000
737000
220000
334801.76
347000
207000
365638
765000
535000
225000
425000
437000
900000
241000
308370
195000
283000
336000
295000
2362000
725000
485200
750000
210000
380000
330396
867500
497500
400000
625000
244000
205000
505000
195000
525000
670000
389500
424200
354500
550000
204000
262114.53
1100000
800000
385000
450000
