Date,Hour,NOx,NO,NO2
,,ug/m3,ug/m3,ug/m3
01/01/2018,1,0.8,-0.1,1.1
01/01/2018,2,0.8,-0.4,1.1
01/01/2018,3,0.8,-0.3,1.1
01/01/2018,4,0.8,-0.4,1.3
01/01/2018,5,1.3,-0.5,2.1
01/01/2018,6,1.0,-0.3,1.3
01/01/2018,7,1.3,0.0,1.1
01/01/2018,8,7.1,2.1,3.8
01/01/2018,9,3.4,0.8,2.1
01/01/2018,10,2.5,0.5,1.7
01/01/2018,11,2.3,0.4,1.7
01/01/2018,12,2.3,0.3,2.1
01/01/2018,13,3.6,0.6,2.7
01/01/2018,14,4.4,0.9,3.1
01/01/2018,15,3.4,0.5,2.9
01/01/2018,16,5.0,1.0,3.4
01/01/2018,17,4.4,0.8,3.2
01/01/2018,18,5.2,0.5,4.6
01/01/2018,19,5.0,0.3,4.6
01/01/2018,20,7.1,0.3,6.5
01/01/2018,21,22.9,1.5,20.8
01/01/2018,22,21.8,2.3,18.1
01/01/2018,23,46.0,5.6,37.4
01/01/2018,24,9.4,0.1,9.2
02/01/2018,1,18.5,0.5,17.6
02/01/2018,2,9.9,0.4,9.2
02/01/2018,3,7.8,0.3,7.3
02/01/2018,4,2.9,-0.1,3.1
02/01/2018,5,2.3,0.0,2.5
02/01/2018,6,1.9,-0.4,2.5
02/01/2018,7,1.7,0.0,1.7
02/01/2018,8,10.5,3.4,5.3
02/01/2018,9,8.0,1.9,5.2
02/01/2018,10,6.5,1.5,4.0
02/01/2018,11,7.1,1.6,4.8
02/01/2018,12,6.9,1.5,4.6
02/01/2018,13,9.4,2.0,6.3
02/01/2018,14,7.4,1.1,5.7
02/01/2018,15,10.5,1.3,8.6
02/01/2018,16,25.8,5.1,18.0
02/01/2018,17,24.8,4.0,18.7
02/01/2018,18,19.3,2.9,14.9
02/01/2018,19,0.0,0.0,0.0
02/01/2018,20,2.1,0.0,2.1
02/01/2018,21,1.5,0.0,1.7
02/01/2018,22,1.7,0.0,1.7
02/01/2018,23,0.6,-0.4,1.0
02/01/2018,24,0.8,-0.1,1.0
03/01/2018,1,0.4,-0.1,0.6
03/01/2018,2,0.4,-0.1,0.6
03/01/2018,3,0.0,-0.3,0.6
03/01/2018,4,-0.2,-0.4,0.6
03/01/2018,5,0.0,-0.3,0.4
03/01/2018,6,-0.2,-0.4,0.4
03/01/2018,7,1.9,0.5,1.1
03/01/2018,8,1.9,0.4,1.3
03/01/2018,9,1.3,-0.1,1.3
03/01/2018,10,1.9,0.0,1.7
03/01/2018,11,2.3,0.1,1.9
03/01/2018,12,6.9,2.0,4.0
03/01/2018,13,4.0,1.0,2.5
03/01/2018,14,3.4,0.5,2.7
03/01/2018,15,3.4,0.6,2.7
03/01/2018,16,5.0,1.3,3.1
03/01/2018,17,4.4,1.0,2.9
03/01/2018,18,4.2,0.8,2.9
03/01/2018,19,2.7,0.3,2.3
03/01/2018,20,2.1,0.0,2.1
03/01/2018,21,2.3,0.0,2.3
03/01/2018,22,2.1,-0.1,2.5
03/01/2018,23,9.7,0.3,9.4
03/01/2018,24,4.4,-0.1,4.6
04/01/2018,1,4.0,0.0,4.2
04/01/2018,2,1.1,-0.1,1.3
04/01/2018,3,12.0,-0.1,12.2
04/01/2018,4,4.0,-0.1,4.2
04/01/2018,5,1.3,-0.1,1.5
04/01/2018,6,1.9,0.0,1.9
04/01/2018,7,4.2,-0.1,4.4
04/01/2018,8,9.6,1.4,7.6
04/01/2018,9,8.4,1.6,5.7
04/01/2018,10,12.2,2.4,8.6
04/01/2018,11,9.6,1.9,6.7
04/01/2018,12,8.6,1.4,6.7
04/01/2018,13,9.9,1.8,7.3
04/01/2018,14,8.6,1.4,6.3
04/01/2018,15,8.4,1.6,5.9
04/01/2018,16,12.2,2.5,8.4
04/01/2018,17,17.0,2.6,13.0
04/01/2018,18,24.6,2.9,20.2
04/01/2018,19,22.5,1.9,19.7
04/01/2018,20,20.6,0.9,19.5
04/01/2018,21,26.5,2.3,23.1
04/01/2018,22,53.3,7.1,42.4
04/01/2018,23,60.2,10.3,44.5
04/01/2018,24,116.7,35.4,62.6
05/01/2018,1,62.8,9.9,47.8
05/01/2018,2,49.3,6.3,39.7
05/01/2018,3,61.3,15.1,38.2
05/01/2018,4,25.6,3.3,20.8
05/01/2018,5,10.9,0.4,10.5
05/01/2018,6,7.3,-0.1,7.4
05/01/2018,7,7.3,0.1,7.1
05/01/2018,8,17.0,3.6,11.5
05/01/2018,9,27.3,3.4,22.2
05/01/2018,10,32.1,5.1,24.3
05/01/2018,11,26.5,4.5,19.7
05/01/2018,12,13.8,2.6,9.7
05/01/2018,13,10.9,2.3,7.4
05/01/2018,14,15.5,2.6,11.5
05/01/2018,15,22.0,2.5,18.1
05/01/2018,16,29.2,5.3,21.2
05/01/2018,17,55.2,11.6,37.2
05/01/2018,18,80.4,18.9,51.6
05/01/2018,19,68.8,14.5,46.6
05/01/2018,20,88.1,24.5,50.6
05/01/2018,21,76.2,19.8,46.0
05/01/2018,22,103.3,32.6,53.3
05/01/2018,23,67.6,15.1,44.5
05/01/2018,24,24.3,0.8,22.9
06/01/2018,1,10.7,0.0,10.7
06/01/2018,2,5.2,-0.3,5.5
06/01/2018,3,3.4,-0.3,4.0
06/01/2018,4,4.4,0.0,4.4
06/01/2018,5,5.7,-0.3,6.1
06/01/2018,6,3.1,-0.1,3.2
06/01/2018,7,1.9,-0.3,2.3
06/01/2018,8,2.9,-0.4,3.4
06/01/2018,9,3.1,-0.1,3.2
06/01/2018,10,5.9,0.3,5.5
06/01/2018,11,7.3,0.1,7.1
06/01/2018,12,6.5,0.4,5.9
06/01/2018,13,6.3,0.6,5.3
06/01/2018,14,5.9,0.5,5.2
06/01/2018,15,6.7,0.5,5.7
06/01/2018,16,6.5,0.3,6.1
06/01/2018,17,8.4,0.3,8.0
06/01/2018,18,12.6,0.4,12.2
06/01/2018,19,23.7,0.9,22.3
06/01/2018,20,23.5,0.8,22.2
06/01/2018,21,21.8,0.5,21.0
06/01/2018,22,12.8,0.0,12.6
06/01/2018,23,14.3,-0.1,14.7
06/01/2018,24,11.5,-0.3,11.8
07/01/2018,1,12.8,0.1,12.6
07/01/2018,2,10.3,-0.1,10.5
07/01/2018,3,6.1,-0.3,6.5
07/01/2018,4,6.9,-0.1,7.1
07/01/2018,5,8.0,0.1,7.8
07/01/2018,6,7.6,0.0,7.6
07/01/2018,7,7.8,0.1,7.8
07/01/2018,8,10.7,0.4,10.1
07/01/2018,9,19.5,1.0,18.0
07/01/2018,10,69.9,18.9,41.1
07/01/2018,11,52.5,16.6,27.1
07/01/2018,12,85.0,32.9,34.8
07/01/2018,13,19.7,2.8,15.3
07/01/2018,14,18.5,2.6,14.5
07/01/2018,15,24.3,4.3,17.8
07/01/2018,16,28.8,4.4,22.2
07/01/2018,17,63.2,12.4,44.3
07/01/2018,18,52.1,5.9,43.2
07/01/2018,19,63.2,9.0,49.5
07/01/2018,20,66.1,9.0,52.3
07/01/2018,21,36.5,2.6,32.5
07/01/2018,22,44.3,5.6,35.7
07/01/2018,23,25.4,0.8,24.1
07/01/2018,24,23.9,0.5,23.1
08/01/2018,1,19.7,0.1,19.5
08/01/2018,2,18.7,0.1,18.5
08/01/2018,3,16.8,-0.3,17.2
08/01/2018,4,13.9,-0.3,14.3
08/01/2018,5,10.5,-0.1,10.7
08/01/2018,6,15.1,0.6,14.1
08/01/2018,7,13.6,0.5,12.8
08/01/2018,8,19.9,2.5,16.0
08/01/2018,9,32.7,5.5,24.3
08/01/2018,10,121.7,44.9,53.1
08/01/2018,11,141.9,55.8,56.7
08/01/2018,12,72.8,25.5,33.8
08/01/2018,13,28.5,5.6,19.7
08/01/2018,14,50.2,14.0,28.8
08/01/2018,15,22.5,4.5,15.7
08/01/2018,16,29.6,6.9,18.9
08/01/2018,17,32.3,7.9,20.1
08/01/2018,18,22.0,3.5,16.8
08/01/2018,19,21.2,3.8,15.5
08/01/2018,20,16.8,2.3,13.2
08/01/2018,21,14.9,1.5,12.4
08/01/2018,22,12.6,1.5,10.3
08/01/2018,23,10.1,0.8,9.0
08/01/2018,24,9.0,0.5,8.2
09/01/2018,1,7.8,0.1,7.4
09/01/2018,2,8.0,0.3,7.6
09/01/2018,3,7.6,0.1,7.6
09/01/2018,4,8.0,0.1,7.8
09/01/2018,5,6.3,-0.1,6.5
09/01/2018,6,5.0,-0.1,5.2
09/01/2018,7,5.0,0.0,5.2
09/01/2018,8,6.9,0.9,5.7
09/01/2018,9,9.0,1.6,6.7
09/01/2018,10,10.5,2.0,7.4
09/01/2018,11,9.7,1.5,7.4
09/01/2018,12,11.3,2.0,8.2
09/01/2018,13,12.6,2.8,8.6
09/01/2018,14,11.8,2.3,8.4
09/01/2018,15,13.2,2.8,9.0
09/01/2018,16,14.7,3.0,10.1
09/01/2018,17,16.2,2.9,11.8
09/01/2018,18,17.2,2.9,13.0
09/01/2018,19,22.2,1.4,20.1
09/01/2018,20,40.3,3.5,35.0
09/01/2018,21,36.3,3.4,31.1
09/01/2018,22,52.3,6.0,43.4
09/01/2018,23,74.7,15.3,51.4
09/01/2018,24,55.8,6.6,45.6
10/01/2018,1,51.2,7.6,39.5
10/01/2018,2,40.1,3.4,35.0
10/01/2018,3,53.1,6.9,42.6
10/01/2018,4,20.4,1.3,18.5
10/01/2018,5,3.6,0.0,3.8
10/01/2018,6,5.9,-0.3,6.1
10/01/2018,7,22.3,0.5,21.6
10/01/2018,8,17.2,0.3,17.0
10/01/2018,9,39.5,3.1,34.8
10/01/2018,10,51.0,7.1,40.3
10/01/2018,11,60.9,10.4,45.1
10/01/2018,12,50.8,11.4,33.2
10/01/2018,13,21.4,3.5,16.0
10/01/2018,14,16.0,3.0,11.3
10/01/2018,15,18.7,3.1,13.9
10/01/2018,16,20.4,3.4,15.3
10/01/2018,17,22.0,3.4,16.8
10/01/2018,18,19.3,2.3,15.9
10/01/2018,19,22.7,1.4,20.6
10/01/2018,20,22.9,0.6,22.0
10/01/2018,21,22.9,0.8,22.0
10/01/2018,22,34.8,5.4,26.5
10/01/2018,23,22.7,0.3,22.3
10/01/2018,24,17.6,0.1,17.4
11/01/2018,1,47.9,6.6,37.8
11/01/2018,2,37.2,3.8,31.5
11/01/2018,3,11.8,0.3,11.5
11/01/2018,4,5.3,-0.3,5.7
11/01/2018,5,6.3,-0.1,6.5
11/01/2018,6,18.1,1.0,16.6
11/01/2018,7,23.3,3.8,17.6
11/01/2018,8,31.3,6.0,22.2
11/01/2018,9,64.6,20.0,34.0
11/01/2018,10,274.7,144.5,53.9
11/01/2018,11,612.5,340.8,91.9
11/01/2018,12,117.1,47.3,44.9
11/01/2018,13,35.9,11.0,19.1
11/01/2018,14,40.3,11.0,23.5
11/01/2018,15,38.6,9.0,24.6
11/01/2018,16,34.2,8.8,21.0
11/01/2018,17,29.2,6.8,18.7
11/01/2018,18,28.8,6.6,18.7
11/01/2018,19,30.4,6.6,20.2
11/01/2018,20,25.2,4.0,19.1
11/01/2018,21,23.9,3.5,18.5
11/01/2018,22,17.4,2.3,13.8
11/01/2018,23,17.4,1.8,14.7
11/01/2018,24,9.9,0.6,9.0
12/01/2018,1,5.5,0.3,5.3
12/01/2018,2,4.4,0.0,4.4
12/01/2018,3,3.8,-0.1,4.0
12/01/2018,4,2.9,-0.1,3.1
12/01/2018,5,2.5,-0.1,2.7
12/01/2018,6,2.1,-0.1,2.3
12/01/2018,7,1.7,-0.3,2.1
12/01/2018,8,3.8,0.5,3.1
12/01/2018,9,7.8,1.5,5.5
12/01/2018,10,9.2,1.8,6.5
12/01/2018,11,11.7,1.8,9.0
12/01/2018,12,9.7,1.9,6.9
12/01/2018,13,12.0,2.4,8.4
12/01/2018,14,13.0,2.5,9.2
12/01/2018,15,13.9,3.0,9.2
12/01/2018,16,11.5,2.5,7.6
12/01/2018,17,14.9,3.0,10.3
12/01/2018,18,13.8,2.8,9.7
12/01/2018,19,12.2,2.0,9.4
12/01/2018,20,12.6,1.8,9.7
12/01/2018,21,11.1,1.4,9.2
12/01/2018,22,8.0,1.0,6.5
12/01/2018,23,6.1,0.4,5.5
12/01/2018,24,4.2,0.0,4.2
13/01/2018,1,3.1,0.0,3.1
13/01/2018,2,1.9,-0.1,2.1
13/01/2018,3,1.7,-0.3,2.1
13/01/2018,4,1.1,-0.4,1.5
13/01/2018,5,1.0,-0.3,1.3
13/01/2018,6,1.0,-0.3,1.3
13/01/2018,7,1.3,0.0,1.3
13/01/2018,8,1.9,-0.4,2.3
13/01/2018,9,8.2,0.0,8.2
13/01/2018,10,7.6,0.5,6.9
13/01/2018,11,8.0,0.8,6.9
13/01/2018,12,12.2,1.0,10.7
13/01/2018,13,12.4,1.3,10.3
13/01/2018,14,12.0,1.5,9.6
13/01/2018,15,14.7,1.9,11.8
13/01/2018,16,20.2,2.3,17.0
13/01/2018,17,20.1,1.6,17.4
13/01/2018,18,52.3,8.5,39.3
13/01/2018,19,135.2,44.8,66.9
13/01/2018,20,100.3,28.6,56.5
13/01/2018,21,105.1,35.3,51.2
13/01/2018,22,150.9,65.9,50.2
13/01/2018,23,82.9,26.5,42.4
13/01/2018,24,34.0,5.3,26.2
14/01/2018,1,13.6,0.4,13.0
14/01/2018,2,16.2,1.1,14.5
14/01/2018,3,16.4,1.0,14.9
14/01/2018,4,11.7,0.4,11.1
14/01/2018,5,5.5,0.0,5.5
14/01/2018,6,3.4,-0.3,3.8
14/01/2018,7,2.7,-0.3,2.9
14/01/2018,8,2.7,-0.1,2.9
14/01/2018,9,3.1,0.1,3.1
14/01/2018,10,5.0,0.0,5.0
14/01/2018,11,4.8,0.0,4.8
14/01/2018,12,4.2,0.3,3.8
14/01/2018,13,5.9,0.4,5.2
14/01/2018,14,6.1,0.5,5.5
14/01/2018,15,7.4,0.6,6.5
14/01/2018,16,6.7,0.5,5.9
14/01/2018,17,6.5,0.3,6.1
14/01/2018,18,7.6,0.4,7.1
14/01/2018,19,4.0,0.3,3.6
14/01/2018,20,2.7,0.0,2.9
14/01/2018,21,1.5,-0.4,2.1
14/01/2018,22,1.0,0.0,1.0
14/01/2018,23,0.4,-0.3,0.8
14/01/2018,24,0.2,-0.4,0.8
15/01/2018,1,0.2,-0.1,0.4
15/01/2018,2,0.2,-0.3,0.6
15/01/2018,3,0.2,-0.3,0.6
15/01/2018,4,0.0,-0.5,0.8
15/01/2018,5,-0.2,-0.4,0.4
15/01/2018,6,0.4,-0.1,0.6
15/01/2018,7,2.1,0.3,1.7
15/01/2018,8,9.9,2.8,5.7
15/01/2018,9,3.8,0.5,3.1
15/01/2018,10,7.8,1.3,5.9
15/01/2018,11,10.5,2.3,7.1
15/01/2018,12,8.8,1.6,6.3
15/01/2018,13,11.7,2.1,8.2
15/01/2018,14,8.2,1.5,5.9
15/01/2018,15,9.0,1.8,6.3
15/01/2018,16,9.2,1.8,6.5
15/01/2018,17,9.6,1.8,6.9
15/01/2018,18,10.3,1.9,7.4
15/01/2018,19,10.9,1.8,8.2
15/01/2018,20,5.0,0.3,4.6
15/01/2018,21,3.6,0.3,3.2
15/01/2018,22,3.8,0.4,3.2
15/01/2018,23,2.5,0.0,2.3
15/01/2018,24,1.3,-0.3,1.7
16/01/2018,1,0.6,-0.3,1.0
16/01/2018,2,0.4,-0.4,1.0
16/01/2018,3,0.6,-0.4,1.0
16/01/2018,4,0.8,-0.1,1.0
16/01/2018,5,0.6,-0.3,1.0
16/01/2018,6,0.2,-0.1,0.6
16/01/2018,7,0.4,-0.1,0.8
16/01/2018,8,5.7,1.6,3.2
16/01/2018,9,4.0,0.6,3.1
16/01/2018,10,6.9,1.3,5.0
16/01/2018,11,9.4,2.0,6.3
16/01/2018,12,6.3,1.3,4.4
16/01/2018,13,6.9,1.3,5.0
16/01/2018,14,6.3,1.1,4.6
16/01/2018,15,8.4,1.6,5.9
16/01/2018,16,9.9,2.1,6.7
16/01/2018,17,9.0,2.1,5.7
16/01/2018,18,10.1,2.4,6.5
16/01/2018,19,9.6,1.9,6.5
16/01/2018,20,11.8,3.6,6.5
16/01/2018,21,2.9,0.4,2.5
16/01/2018,22,2.1,0.0,2.1
16/01/2018,23,1.0,0.0,1.1
16/01/2018,24,1.3,0.0,1.5
17/01/2018,1,0.6,-0.3,1.0
17/01/2018,2,0.0,-0.4,0.6
17/01/2018,3,-0.4,-0.5,0.6
17/01/2018,4,0.0,-0.3,0.4
17/01/2018,5,0.4,-0.1,0.6
17/01/2018,6,-0.2,-0.5,0.4
17/01/2018,7,4.0,1.1,2.3
17/01/2018,8,4.2,1.1,2.5
17/01/2018,9,5.2,1.0,3.6
17/01/2018,10,8.0,1.3,6.1
17/01/2018,11,15.7,2.5,11.8
17/01/2018,12,9.0,1.5,6.7
17/01/2018,13,12.4,2.4,8.8
17/01/2018,14,12.0,1.9,9.0
17/01/2018,15,8.0,1.5,5.7
17/01/2018,16,18.1,3.8,12.4
17/01/2018,17,18.5,2.8,14.3
17/01/2018,18,34.2,5.5,26.0
17/01/2018,19,31.1,4.4,24.4
17/01/2018,20,16.2,1.4,14.3
17/01/2018,21,12.6,0.5,11.8
17/01/2018,22,1.3,-0.1,1.7
17/01/2018,23,1.0,-0.1,1.1
17/01/2018,24,2.3,0.4,1.9
18/01/2018,1,4.2,0.8,3.1
18/01/2018,2,1.1,-0.4,1.5
18/01/2018,3,0.4,-0.3,0.8
18/01/2018,4,0.4,-0.3,0.8
18/01/2018,5,1.5,0.0,1.5
18/01/2018,6,0.2,-0.4,0.8
18/01/2018,7,2.9,0.5,2.1
18/01/2018,8,10.1,2.5,6.3
18/01/2018,9,9.0,1.5,6.5
18/01/2018,10,12.8,1.5,10.5
18/01/2018,11,18.3,3.0,13.8
18/01/2018,12,15.9,2.6,11.8
18/01/2018,13,13.2,2.4,9.6
18/01/2018,14,12.4,2.1,9.2
18/01/2018,15,17.6,3.6,12.2
18/01/2018,16,33.2,10.1,17.8
18/01/2018,17,29.8,4.1,23.5
18/01/2018,18,21.0,2.5,17.2
18/01/2018,19,38.6,5.3,30.4
18/01/2018,20,59.2,8.6,46.0
18/01/2018,21,23.3,2.9,18.9
18/01/2018,22,16.4,0.5,15.7
18/01/2018,23,8.0,0.0,8.0
18/01/2018,24,4.8,-0.3,5.3
19/01/2018,1,6.1,-0.3,6.5
19/01/2018,2,2.3,-0.4,2.9
19/01/2018,3,1.1,-0.4,1.5
19/01/2018,4,4.8,-0.1,5.0
19/01/2018,5,4.6,0.3,4.4
19/01/2018,6,1.9,-0.4,2.5
19/01/2018,7,4.2,0.0,4.2
19/01/2018,8,13.4,3.3,8.6
19/01/2018,9,25.8,4.1,19.5
19/01/2018,10,26.7,3.3,21.8
19/01/2018,11,16.4,2.4,12.6
19/01/2018,12,18.9,2.9,14.5
19/01/2018,13,17.0,3.0,12.4
19/01/2018,14,13.0,1.6,10.5
19/01/2018,15,11.1,2.3,7.8
19/01/2018,16,10.9,2.3,7.4
19/01/2018,17,8.6,1.9,5.9
19/01/2018,18,15.9,2.6,11.8
19/01/2018,19,10.7,0.8,9.6
19/01/2018,20,25.4,1.8,22.5
19/01/2018,21,19.5,0.6,18.7
19/01/2018,22,34.4,2.8,30.2
19/01/2018,23,26.2,0.8,25.0
19/01/2018,24,48.1,4.3,41.6
20/01/2018,1,35.9,1.8,33.2
20/01/2018,2,47.4,3.6,41.8
20/01/2018,3,45.1,2.9,40.7
20/01/2018,4,18.1,-0.1,18.5
20/01/2018,5,6.9,-0.3,7.3
20/01/2018,6,8.0,-0.3,8.2
20/01/2018,7,4.2,-0.1,4.6
20/01/2018,8,5.7,-0.1,5.9
20/01/2018,9,8.4,-0.1,8.6
20/01/2018,10,4.8,-0.1,5.0
20/01/2018,11,7.4,0.0,7.4
20/01/2018,12,12.8,0.3,12.4
20/01/2018,13,9.6,0.3,9.2
20/01/2018,14,10.1,0.6,9.2
20/01/2018,15,12.0,0.8,10.9
20/01/2018,16,12.0,0.4,11.5
20/01/2018,17,13.2,0.0,13.0
20/01/2018,18,14.9,-0.1,15.1
20/01/2018,19,41.1,1.8,38.2
20/01/2018,20,54.2,4.8,47.2
20/01/2018,21,35.9,2.1,32.7
20/01/2018,22,37.6,2.6,33.6
20/01/2018,23,15.9,0.9,14.3
20/01/2018,24,12.0,0.6,11.1
21/01/2018,1,9.2,0.4,8.6
21/01/2018,2,6.9,0.1,6.5
21/01/2018,3,6.1,0.0,6.1
21/01/2018,4,6.5,0.1,6.3
21/01/2018,5,3.8,-0.3,4.2
21/01/2018,6,3.6,-0.1,3.8
21/01/2018,7,3.6,-0.1,3.8
21/01/2018,8,5.2,-0.3,5.7
21/01/2018,9,5.2,-0.3,5.5
21/01/2018,10,12.2,0.5,11.3
21/01/2018,11,0.8,-0.3,1.3
21/01/2018,12,1.0,-0.3,1.5
21/01/2018,13,1.7,-0.1,1.9
21/01/2018,14,1.5,-0.3,1.9
21/01/2018,15,1.9,0.0,1.9
21/01/2018,16,1.5,0.0,1.7
21/01/2018,17,1.5,-0.1,1.7
21/01/2018,18,1.9,-0.1,2.1
21/01/2018,19,1.9,0.0,1.9
21/01/2018,20,2.5,-0.1,2.7
21/01/2018,21,2.9,-0.3,3.2
21/01/2018,22,1.9,-0.3,2.3
21/01/2018,23,0.8,-0.5,1.3
21/01/2018,24,1.0,-0.3,1.3
22/01/2018,1,0.4,-0.4,1.0
22/01/2018,2,0.2,-0.5,1.0
22/01/2018,3,0.0,-0.5,0.8
22/01/2018,4,-0.2,-0.5,0.6
22/01/2018,5,-0.2,-0.5,0.6
22/01/2018,6,1.1,-0.1,1.3
22/01/2018,7,5.7,1.5,3.4
22/01/2018,8,4.6,1.0,3.1
22/01/2018,9,9.4,1.8,6.7
22/01/2018,10,17.6,2.9,13.2
22/01/2018,11,22.0,4.0,15.9
22/01/2018,12,10.1,2.0,7.1
22/01/2018,13,9.2,1.5,7.1
22/01/2018,14,10.5,2.1,7.3
22/01/2018,15,13.0,2.6,9.0
22/01/2018,16,18.1,3.5,12.8
22/01/2018,17,23.3,3.6,18.0
22/01/2018,18,20.6,3.0,16.0
22/01/2018,19,24.6,4.0,18.5
22/01/2018,20,13.0,1.6,10.7
22/01/2018,21,9.7,0.9,8.4
22/01/2018,22,11.8,0.4,11.3
22/01/2018,23,2.9,0.0,2.9
22/01/2018,24,2.1,-0.1,2.3
23/01/2018,1,1.3,-0.3,1.7
23/01/2018,2,0.6,-0.4,1.1
23/01/2018,3,0.2,-0.4,1.0
23/01/2018,4,0.6,-0.4,1.1
23/01/2018,5,0.6,-0.4,1.0
23/01/2018,6,3.2,0.8,2.3
23/01/2018,7,9.9,2.4,6.3
23/01/2018,8,6.9,1.9,4.0
23/01/2018,9,9.2,1.6,6.7
23/01/2018,10,13.8,2.3,10.3
23/01/2018,11,31.3,5.0,23.5
23/01/2018,12,12.2,2.5,8.4
23/01/2018,13,12.4,2.9,8.0
23/01/2018,14,7.8,1.3,6.1
23/01/2018,15,15.1,3.8,9.4
23/01/2018,16,11.7,2.8,7.4
23/01/2018,17,9.0,1.8,6.3
23/01/2018,18,14.9,2.8,10.9
23/01/2018,19,21.0,3.0,16.4
23/01/2018,20,24.6,2.4,21.0
23/01/2018,21,10.1,0.4,9.6
23/01/2018,22,5.0,0.3,4.6
23/01/2018,23,3.1,-0.1,3.1
23/01/2018,24,1.7,-0.3,2.1
24/01/2018,1,0.4,-0.4,1.0
24/01/2018,2,-0.2,-0.5,0.6
24/01/2018,3,0.2,-0.3,0.6
24/01/2018,4,-0.4,-0.5,0.4
24/01/2018,5,-0.2,-0.4,0.4
24/01/2018,6,0.8,0.0,0.8
24/01/2018,7,1.1,0.1,1.0
24/01/2018,8,2.5,0.5,1.7
24/01/2018,9,9.0,2.4,5.3
24/01/2018,10,9.0,1.9,6.1
24/01/2018,11,9.7,2.0,6.9
24/01/2018,12,10.1,2.0,7.1
24/01/2018,13,8.6,2.1,5.5
24/01/2018,14,6.7,1.1,4.8
24/01/2018,15,6.9,1.5,4.6
24/01/2018,16,12.8,3.5,7.4
24/01/2018,17,11.3,2.4,7.6
24/01/2018,18,18.9,3.3,13.8
24/01/2018,19,15.1,2.0,12.0
24/01/2018,20,5.3,0.3,5.0
24/01/2018,21,5.7,0.1,5.3
24/01/2018,22,4.2,0.1,4.0
24/01/2018,23,6.1,0.1,5.9
24/01/2018,24,4.2,-0.1,4.6
25/01/2018,1,0.8,-0.5,1.3
25/01/2018,2,1.1,-0.4,1.7
25/01/2018,3,0.4,-0.4,1.0
25/01/2018,4,0.2,-0.4,0.8
25/01/2018,5,-0.2,-0.4,0.4
25/01/2018,6,0.8,0.0,0.6
25/01/2018,7,1.1,-0.1,1.3
25/01/2018,8,5.5,0.9,4.2
25/01/2018,9,14.9,2.3,11.5
25/01/2018,10,32.9,3.5,27.5
25/01/2018,11,,,
25/01/2018,12,,,
25/01/2018,13,,,
25/01/2018,14,9.9,1.8,7.3
25/01/2018,15,20.4,3.3,15.5
25/01/2018,16,22.7,5.1,15.1
25/01/2018,17,11.5,2.1,8.2
25/01/2018,18,20.2,3.9,14.3
25/01/2018,19,21.0,4.1,14.7
25/01/2018,20,26.4,4.9,18.9
25/01/2018,21,10.1,1.0,8.6
25/01/2018,22,9.0,0.6,8.0
25/01/2018,23,5.2,0.1,5.0
25/01/2018,24,6.1,0.3,5.7
26/01/2018,1,4.2,0.0,4.2
26/01/2018,2,2.9,-0.4,3.4
26/01/2018,3,1.1,-0.4,1.5
26/01/2018,4,4.0,0.4,3.4
26/01/2018,5,5.0,0.5,4.2
26/01/2018,6,1.5,-0.3,1.9
26/01/2018,7,12.4,1.4,10.3
26/01/2018,8,12.2,0.4,11.7
26/01/2018,9,71.6,21.3,39.2
26/01/2018,10,241.2,115.8,64.4
26/01/2018,11,247.0,120.3,63.2
26/01/2018,12,71.1,21.0,39.0
26/01/2018,13,48.5,11.1,31.3
26/01/2018,14,30.8,5.4,22.5
26/01/2018,15,26.4,4.1,20.1
26/01/2018,16,39.7,7.9,27.7
26/01/2018,17,24.3,4.5,17.4
26/01/2018,18,31.3,4.3,25.0
26/01/2018,19,17.0,1.5,14.7
26/01/2018,20,15.3,1.6,12.8
26/01/2018,21,8.2,0.6,7.3
26/01/2018,22,8.0,0.5,7.1
26/01/2018,23,4.2,0.0,4.2
26/01/2018,24,2.9,-0.1,3.1
27/01/2018,1,3.1,-0.3,3.4
27/01/2018,2,1.7,-0.4,2.5
27/01/2018,3,1.9,-0.4,2.3
27/01/2018,4,1.3,-0.4,1.7
27/01/2018,5,0.6,-0.4,1.1
27/01/2018,6,0.0,-0.3,0.4
27/01/2018,7,-0.2,-0.5,0.6
27/01/2018,8,0.2,-0.3,0.6
27/01/2018,9,0.4,-0.5,1.1
27/01/2018,10,1.0,-0.3,1.3
27/01/2018,11,2.7,-0.3,3.1
27/01/2018,12,3.6,0.0,3.6
27/01/2018,13,2.7,0.0,2.7
27/01/2018,14,2.1,0.0,2.1
27/01/2018,15,2.3,0.0,2.3
27/01/2018,16,2.5,0.0,2.5
27/01/2018,17,1.7,-0.1,1.9
27/01/2018,18,1.9,-0.1,2.1
27/01/2018,19,2.3,-0.3,2.5
27/01/2018,20,1.9,-0.4,2.5
27/01/2018,21,2.1,-0.3,2.5
27/01/2018,22,1.7,-0.3,2.1
27/01/2018,23,1.5,-0.3,2.1
27/01/2018,24,2.5,-0.3,2.7
28/01/2018,1,1.9,-0.5,2.5
28/01/2018,2,2.9,-0.4,3.4
28/01/2018,3,0.4,-0.1,0.6
28/01/2018,4,0.2,-0.3,0.8
28/01/2018,5,0.4,-0.1,0.6
28/01/2018,6,-0.2,-0.4,0.4
28/01/2018,7,0.0,-0.4,0.6
28/01/2018,8,-0.2,-0.4,0.6
28/01/2018,9,0.4,-0.4,1.0
